date,estimated-transaction-volume-usd
2023-09-23,1538409212.8550396
2023-09-27,2596845119.6675167
2023-10-01,1345571689.3055787
2023-10-05,2623391572.8526564
2023-10-09,2158065358.8911233
2023-10-13,2421619646.7398853
2023-10-17,4274499054.430531
2023-10-21,1723876211.3422394
2023-10-25,5410058415.255335
2023-10-29,1726351388.5867956
2023-11-02,4431468530.768458
2023-11-06,3548525600.407826
2023-11-10,5561958753.50992
2023-11-15,4102614220.8767323
2023-11-19,1523180186.5402942
2023-11-23,3787901261.3864956
2023-11-27,5524499401.188489
2023-12-01,5505329810.390505
2023-12-05,7424874757.09328
2023-12-09,3136020521.05905
2023-12-13,3795478024.164756
2023-12-17,2288390935.236568
2023-12-21,4308624956.614696
2023-12-25,2721717821.8728905
2023-12-29,7532430670.960343
2024-01-02,6587808088.354585
2024-01-06,3514058610.2708097
2024-01-10,8570243218.40498
2024-01-14,2706190809.4012694
2024-01-18,9254871867.189322
2024-01-22,9388167044.048624
2024-01-26,9756330736.025513
2024-01-30,10414364856.193766
2024-02-03,1974959185.658117
2024-02-07,5843028458.963722
2024-02-11,3435220649.64012
2024-02-15,9535567173.690292
2024-02-19,4823413490.972352
2024-02-23,7894519042.487277
2024-02-27,12309674248.943565
2024-03-02,3495344246.4389367
2024-03-06,19598765884.1782
2024-03-10,5757164174.643835
2024-03-14,16402381871.931147
2024-03-18,11933590441.311108
2024-03-22,12407695913.88318
2024-03-26,15441122467.654274
2024-03-30,4899663871.94741
2024-04-03,11542956859.303852
2024-04-07,5011808062.969637
2024-04-11,8561053017.120058
2024-04-15,11559341313.326015
2024-04-19,9479933431.70449
2024-04-23,7265789225.50074
2024-04-27,3253300158.0688977
2024-05-01,8725783357.945253
2024-05-05,1613446518.3047206
2024-05-09,4649344428.186168
2024-05-13,5759327016.077168
2024-05-17,7835288947.482639
2024-05-21,11045188897.642183
2024-05-25,2016644986.3119543
2024-05-29,6388638321.04567
2024-06-02,1639206773.6388125
2024-06-06,7566456857.2989645
2024-06-10,7071634843.4280405
2024-06-14,7752072910.629316
2024-06-18,8142461537.978515
2024-06-22,5441303997.531913
2024-06-26,6539916736.601309
2024-07-01,7238212215.877723
2024-07-05,17072634339.062922
2024-07-09,7917211325.057808
2024-07-13,2761173151.654501
2024-07-17,7739487792.722873
2024-07-21,2500846849.1716294
2024-07-25,7867610940.380128
2024-07-29,9902659739.016802
2024-08-02,9809266028.523855
2024-08-06,6808433062.101782
2024-08-10,3834508484.859348
2024-08-14,6988791297.667786
2024-08-18,1842005986.3217332
2024-08-22,5779831062.841158
2024-08-26,6102368262.378635
2024-08-30,7346359988.724018
2024-09-03,6012689752.026111
2024-09-07,1519336722.3506465
2024-09-11,4996530777.753266
2024-09-15,1557392812.0248942
2024-09-19,8246322622.468619
2024-09-23,7000723222.757288
2024-09-27,8554437526.620602
2024-10-01,8154719864.648614
2024-10-05,2730371658.884799
2024-10-09,6720634380.632039
2024-10-13,1597337887.2848842
2024-10-17,8730955014.1011
2024-10-21,8678261147.398464
2024-10-25,8170259000.293865
2024-10-29,14125800889.231539
2024-11-02,2325736060.7382245
2024-11-06,16624459226.55678
2024-11-10,8805260115.054148
2024-11-14,24187597707.2619
2024-11-19,17907534161.0051
2024-11-23,11273319452.938
